设备号,统计日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号
10160,20170719,精彩点,05月19日 奔跑吧：暴力贾玲地咚王祖蓝(高清),2017/7/19 18:06,2017/7/19 18:11,10209
10160,20170720,免费睇,阿凡达(3D),2017/7/20 15:32,2017/7/20 15:55,10209
10160,20170721,精彩点,新娘大作战(高清),2017/7/21 14:49,2017/7/21 15:39,10209
10160,20170721,热点专题,冰雪奇缘(高清),2017/7/21 15:52,2017/7/21 16:22,10209
10160,20170721,精彩点,新娘大作战(高清)(baby倪妮，闺蜜开撕),2017/7/21 14:49,2017/7/21 15:39,10209
10160,20170721,热点专题,一路惊喜(高清),2017/7/21 14:48,2017/7/21 14:49,10209
10160,20170721,热点专题,冰雪奇缘(高清)(冰雪女王驾到),2017/7/21 15:52,2017/7/21 16:22,10209
10160,20170721,热点专题,冰雪奇缘(高清),2017/7/21 15:39,2017/7/21 15:52,10209
10160,20170721,热点专题,冰雪奇缘(高清)(冰雪女王驾到),2017/7/21 15:39,2017/7/21 15:52,10209
10160,20170722,精彩点,07月15日 旅途的花样：林志玲寻找小鲜肉(高清),2017/7/22 17:25,2017/7/22 17:41,10209
10160,20170722,精彩点,阿妈教落食平D(01),2017/7/22 17:48,2017/7/22 18:08,10209
10160,20170726,精彩点,楚乔传(58)(高清),2017/7/26 16:09,2017/7/26 16:10,10209
10160,20170726,精彩点,楚乔传(55)(高清),2017/7/26 16:10,2017/7/26 16:12,10209
10160,20170726,精彩点,楚乔传(50)(高清),2017/7/26 16:12,2017/7/26 16:43,10209
10160,20170726,精彩点,我们的少年时代(26)(高清),2017/7/26 14:10,2017/7/26 15:37,10209
10160,20170729,精彩点,我们的少年时代(33)(高清),2017/7/29 15:28,2017/7/29 15:31,10209
10160,20170729,精彩点,07月22日 旅途的花样：李治廷变“剑侠”(高清),2017/7/29 17:16,2017/7/29 17:59,10209
10160,20170729,精彩点,07月22日 中餐厅：赵薇晓明“相爱相杀”(高清),2017/7/29 21:38,2017/7/29 21:45,10209
10160,20170729,精彩点,我们的少年时代(33)(高清),2017/7/29 15:25,2017/7/29 15:29,10209
10160,20170729,精彩点,07月22日 旅途的花样：李治廷变“剑侠”(高清),2017/7/29 20:20,2017/7/29 20:35,10209
10160,20170729,精彩点,07月22日 旅途的花样：李治廷变“剑侠”(高清),2017/7/29 16:00,2017/7/29 16:04,10209
10160,20170731,精彩点,07月29日 旅途的花样：芭蕾舞王子迷倒林志玲(高清),2017/7/31 14:53,2017/7/31 15:02,10209
10160,20170731,精彩点,07月29日 中餐厅：张亮展厨艺圈粉周冬雨(高清),2017/7/31 14:50,2017/7/31 14:53,10209
10160,20170731,精彩点,07月29日 旅途的花样：芭蕾舞王子迷倒林志玲(高清),2017/7/31 15:23,2017/7/31 16:29,10209
10160,20170731,精彩点,07月29日 旅途的花样：芭蕾舞王子迷倒林志玲(高清),2017/7/31 16:29,2017/7/31 19:40,10209
10160,20170801,精彩点,浪花一朵朵(01)(高清),2017/8/1 16:10,2017/8/1 16:12,10209
10160,20170801,精彩点,06月24日 旅途的花样：林志玲叫板马丽(高清),2017/8/1 17:50,2017/8/1 18:06,10209
10160,20170801,精彩点,浪花一朵朵(01)(高清),2017/8/1 16:12,2017/8/1 16:41,10209
10160,20170801,精彩点,楚乔传(62)(高清),2017/8/1 16:01,2017/8/1 16:11,10209
10160,20170801,精彩点,06月17日 旅途的花样：林志玲玫瑰小姐惊艳世界(高清),2017/8/1 17:32,2017/8/1 17:50,10209
10160,20170801,精彩点,楚乔传(54)(高清),2017/8/1 15:42,2017/8/1 15:49,10209
10160,20170801,精彩点,楚乔传(51)(高清),2017/8/1 15:34,2017/8/1 15:41,10209
10160,20170801,精彩点,楚乔传(55)(高清),2017/8/1 15:49,2017/8/1 16:01,10209
10160,20170801,精彩点,06月03日 旅途的花样：林志玲带队首当团长(高清),2017/8/1 17:16,2017/8/1 17:32,10209
10160,20170802,精彩点,07月30日 我们相爱吧之爱有天意：潘玮柏单膝跪地表白(高清),2017/8/2 21:11,2017/8/2 21:23,10209
10160,20170802,精彩点,07月29日 旅途的花样：芭蕾舞王子迷倒林志玲(高清),2017/8/2 11:58,2017/8/2 12:00,10209
10160,20170802,精彩点,07月29日 跨界喜剧王 第二季：邓紫棋变“机器人”学方言(高清),2017/8/2 21:05,2017/8/2 21:11,10209
10160,20170802,精彩点,07月29日 跨界喜剧王 第二季：邓紫棋变“机器人”学方言(高清),2017/8/2 19:49,2017/8/2 19:57,10209
10160,20170802,精彩点,浪花一朵朵(01)(高清),2017/8/2 12:00,2017/8/2 12:09,10209
10160,20170802,精彩点,07月29日 旅途的花样：芭蕾舞王子迷倒林志玲(高清),2017/8/2 11:44,2017/8/2 11:56,10209
10160,20170802,精彩点,浪花一朵朵(01)(高清),2017/8/2 13:25,2017/8/2 13:33,10209
10160,20170802,精彩点,浪花一朵朵(02)(高清),2017/8/2 14:56,2017/8/2 15:36,10209
10160,20170802,精彩点,06月24日 天生是优我：收官！少女团逆袭出道(高清),2017/8/2 21:24,2017/8/2 21:29,10209
10160,20170802,精彩点,07月29日 跨界喜剧王 第二季：邓紫棋变“机器人”学方言(高清),2017/8/2 20:59,2017/8/2 21:05,10209
10160,20170803,精彩点,07月22日 旅途的花样：李治廷变“剑侠”(高清),2017/8/3 12:18,2017/8/3 12:30,10209
10160,20170805,今日上线,故事中的故事(2015)(高清),2017/8/5 12:13,2017/8/5 12:32,10209
10160,20170806,精彩点,浪花一朵朵(07)(高清),2017/8/6 18:34,2017/8/6 18:42,10209
10160,20170807,精彩点,101真狗(高清),2017/8/7 21:28,2017/8/7 21:31,10209
10160,20170807,精彩点,101真狗(高清)(狗狗联萌大作战),2017/8/7 21:23,2017/8/7 21:28,10209
10160,20170807,精彩点,101真狗(高清)(狗狗联萌大作战),2017/8/7 21:28,2017/8/7 21:31,10209
10160,20170807,精彩点,08月05日 跨界喜剧王 第二季：邓紫棋饰演野蛮女友(高清),2017/8/7 15:50,2017/8/7 17:03,10209
10160,20170807,精彩点,101真狗(高清),2017/8/7 21:23,2017/8/7 21:28,10209
10160,20170807,精彩点,08月05日 旅途的花样：林大胆上线志玲沉迷跳伞(高清),2017/8/7 15:13,2017/8/7 15:15,10209
10160,20170807,精彩点,08月05日 旅途的花样：林大胆上线志玲沉迷跳伞(高清),2017/8/7 15:15,2017/8/7 15:44,10209
10160,20170809,精彩点,超时空男臣(04),2017/8/9 16:13,2017/8/9 16:18,10209
10160,20170809,精彩点,超时空男臣(02),2017/8/9 15:56,2017/8/9 16:03,10209
10160,20170809,精彩点,超时空男臣(02),2017/8/9 16:03,2017/8/9 16:06,10209
10160,20170809,精彩点,奔跑吧兄弟 第二季(12)(高清),2017/8/9 14:18,2017/8/9 14:29,10209
10160,20170809,精彩点,奔跑吧兄弟 第二季(11)(高清),2017/8/9 14:03,2017/8/9 14:18,10209
10160,20170809,精彩点,08月05日 中餐厅：黄晓明再掀定价风波(高清),2017/8/9 10:53,2017/8/9 12:01,10209
10160,20170809,精彩点,超时空男臣(04),2017/8/9 16:22,2017/8/9 16:34,10209
10160,20170809,精彩点,07月07日 奔跑吧：奔跑团探班 鹿晗热巴二次元对话萌翻(高清),2017/8/9 14:29,2017/8/9 15:11,10209
10160,20170809,精彩点,超时空男臣(01),2017/8/9 15:36,2017/8/9 15:56,10209
10160,20170809,精彩点,浪花一朵朵(10)(高清),2017/8/9 13:20,2017/8/9 13:36,10209
10160,20170809,精彩点,浪花一朵朵(11)(高清),2017/8/9 13:36,2017/8/9 13:45,10209
10160,20170809,精彩点,超时空男臣(03),2017/8/9 16:06,2017/8/9 16:13,10209
10160,20170810,精彩点,超时空男臣(11)(高清),2017/8/10 16:21,2017/8/10 16:36,10209
10160,20170810,精彩点,超时空男臣(12)(高清),2017/8/10 16:36,2017/8/10 16:38,10209
10160,20170810,精彩点,超时空男臣(11),2017/8/10 16:21,2017/8/10 16:36,10209
10160,20170810,精彩点,超时空男臣(12),2017/8/10 16:36,2017/8/10 16:38,10209
10160,20170810,精彩点,超时空男臣(11),2017/8/10 15:45,2017/8/10 15:54,10209
10160,20170810,精彩点,超时空男臣(11)(高清),2017/8/10 15:45,2017/8/10 15:54,10209
10160,20170811,精彩点,超时空男臣(14),2017/8/11 8:39,2017/8/11 8:46,10209
10160,20170811,精彩点,超时空男臣(18),2017/8/11 9:25,2017/8/11 11:08,10209
10160,20170811,精彩点,超时空男臣(16),2017/8/11 8:52,2017/8/11 9:00,10209
10160,20170811,精彩点,06月11日 我们相爱吧之爱有天意：郑恺首见女友妈妈(高清),2017/8/11 8:28,2017/8/11 8:33,10209
10160,20170811,精彩点,超时空男臣(15),2017/8/11 8:46,2017/8/11 8:52,10209
10160,20170811,精彩点,07月29日 旅途的花样：芭蕾舞王子迷倒林志玲(高清),2017/8/11 8:26,2017/8/11 8:28,10209
10160,20170811,精彩点,超时空男臣(17),2017/8/11 9:00,2017/8/11 9:25,10209
10160,20170813,精彩点,夺命海怪(高清)(海洋神秘黑暗势力),2017/8/13 11:36,2017/8/13 11:37,10209
10160,20170813,精彩点,夏至未至(48)(大结局)(高清),2017/8/13 11:37,2017/8/13 11:40,10209
10160,20170813,精彩点,浪花一朵朵(17)(高清),2017/8/13 11:40,2017/8/13 11:49,10209
10160,20170813,精彩点,08月12日 旅途的花样：华晨宇尬歌狐狸兄弟(高清),2017/8/13 19:50,2017/8/13 20:13,10209
10160,20170813,精彩点,夺命海怪(高清),2017/8/13 11:36,2017/8/13 11:37,10209
10160,20170813,精彩点,08月12日 旅途的花样：华晨宇尬歌狐狸兄弟(高清),2017/8/13 20:24,2017/8/13 20:48,10209
10160,20170814,精彩点,08月12日 跨界喜剧王 第二季：杨宗纬狂飙东北方言(高清),2017/8/14 16:28,2017/8/14 16:29,10209
10160,20170814,精彩点,矮仔多情(奢靡王祖蓝泡妞绝技)(高清),2017/8/14 16:25,2017/8/14 16:28,10209
10160,20170814,精彩点,微爱之渐入佳境(高清),2017/8/14 16:19,2017/8/14 16:25,10209
10160,20170814,精彩点,08月12日 中餐厅：崔老师爆赵薇周冬雨趣事(高清),2017/8/14 13:23,2017/8/14 13:25,10209
10160,20170814,精彩点,08月12日 中餐厅：崔老师爆赵薇周冬雨趣事(高清),2017/8/14 16:15,2017/8/14 16:19,10209
10160,20170814,精彩点,08月12日 跨界喜剧王 第二季：杨宗纬狂飙东北方言(高清),2017/8/14 21:03,2017/8/14 21:27,10209
10160,20170814,精彩点,微爱之渐入佳境(高清)(陈赫AngelaBaby，微时代爱情),2017/8/14 16:19,2017/8/14 16:25,10209
10160,20170814,精彩点,矮仔多情(高清)(奢靡王祖蓝泡妞绝技),2017/8/14 16:25,2017/8/14 16:28,10209
10160,20170814,精彩点,08月12日 旅途的花样：华晨宇尬歌狐狸兄弟(高清),2017/8/14 13:11,2017/8/14 13:23,10209
10160,20170814,精彩点,08月12日 跨界喜剧王 第二季：杨宗纬狂飙东北方言(高清),2017/8/14 20:00,2017/8/14 20:05,10209
10160,20170815,精彩点,疯岳撬佳人(高清),2017/8/15 10:54,2017/8/15 11:03,10209
10160,20170815,精彩点,07月22日 旅途的花样：李治廷变“剑侠”(高清),2017/8/15 11:03,2017/8/15 11:07,10209
10160,20170815,精彩点,疯岳撬佳人(高清)(小岳岳裸撩袁姗姗),2017/8/15 10:54,2017/8/15 11:03,10209
10160,20170819,精彩点,08月12日 跨界喜剧王 第二季：杨宗纬狂飙东北方言(高清),2017/8/19 16:42,2017/8/19 17:08,10209
10160,20170819,精彩点,浪花一朵朵(27)(高清),2017/8/19 11:29,2017/8/19 11:52,10209
10160,20170819,精彩点,秦时丽人明月心(06)(高清),2017/8/19 20:48,2017/8/19 21:16,10209
10160,20170819,精彩点,秦时丽人明月心(01)(高清),2017/8/19 17:09,2017/8/19 17:11,10209
10160,20170819,精彩点,秦时丽人明月心(04)(高清),2017/8/19 20:41,2017/8/19 20:46,10209
10160,20170819,精彩点,秦时丽人明月心(04)(高清),2017/8/19 20:45,2017/8/19 20:48,10209
10160,20170819,精彩点,秦时丽人明月心(02)(高清),2017/8/19 20:26,2017/8/19 20:34,10209
10160,20170819,精彩点,08月12日 旅途的花样：华晨宇尬歌狐狸兄弟(高清),2017/8/19 11:53,2017/8/19 11:54,10209
10160,20170819,精彩点,08月12日 旅途的花样：华晨宇尬歌狐狸兄弟(高清),2017/8/19 16:41,2017/8/19 16:42,10209
10160,20170819,精彩点,秦时丽人明月心(03)(高清),2017/8/19 20:35,2017/8/19 20:41,10209
10160,20170819,精彩点,秦时丽人明月心(01)(高清),2017/8/19 19:52,2017/8/19 20:25,10209
10160,20170820,精彩点,08月12日 挑战者联盟 第三季：范冰冰跪地沾口水写字(高清),2017/8/20 10:08,2017/8/20 10:37,10209
10160,20170820,精彩点,08月12日 挑战者联盟 第三季：范冰冰跪地沾口水写字(高清),2017/8/20 10:37,2017/8/20 11:12,10209
10160,20170821,精彩点,08月19日 开心剧乐部：李晨变作战专家(高清),2017/8/21 12:32,2017/8/21 12:36,10209
10160,20170823,精彩点,秦时丽人明月心(07)(高清),2017/8/23 22:50,2017/8/23 22:52,10209
10160,20170823,精彩点,秦时丽人明月心(08)(高清),2017/8/23 22:58,2017/8/23 23:02,10209
10160,20170823,精彩点,秦时丽人明月心(07)(高清),2017/8/23 22:53,2017/8/23 22:57,10209
10160,20170823,精彩点,秦时丽人明月心(08)(高清),2017/8/23 22:57,2017/8/23 22:58,10209
10160,20170823,精彩点,秦时丽人明月心(09)(高清),2017/8/23 23:02,2017/8/23 23:03,10209
10160,20170825,精彩点,欢乐喜剧人(高清),2017/8/25 10:35,2017/8/25 11:07,10209
10160,20170825,精彩点,味道中国(高清)(“后舌尖时代”的味觉表达),2017/8/25 17:25,2017/8/25 18:25,10209
10160,20170825,精彩点,味道中国(高清),2017/8/25 17:25,2017/8/25 18:25,10209
10160,20170825,精彩点,小叮当：羽翼之迷(高清),2017/8/25 17:24,2017/8/25 17:25,10209
10160,20170825,精彩点,欢乐喜剧人(高清)(憨豆献银幕终极秀),2017/8/25 10:25,2017/8/25 10:35,10209
10160,20170825,精彩点,欢乐喜剧人(高清),2017/8/25 10:25,2017/8/25 10:35,10209
10160,20170825,精彩点,小叮当：羽翼之迷(高清),2017/8/25 15:51,2017/8/25 16:22,10209
10160,20170825,精彩点,欢乐喜剧人(高清)(憨豆献银幕终极秀),2017/8/25 10:35,2017/8/25 11:07,10209
10160,20170825,精彩点,小叮当：羽翼之迷(高清)(冬森林的秘密),2017/8/25 17:24,2017/8/25 17:25,10209
10160,20170825,精彩点,小叮当：羽翼之迷(高清)(冬森林的秘密),2017/8/25 15:51,2017/8/25 16:22,10209
10160,20170826,精彩点,巴啦啦小魔仙音符之谜(05)(高清),2017/8/26 9:37,2017/8/26 9:38,10209
10160,20170826,精彩点,味道中国(高清)(“后舌尖时代”的味觉表达),2017/8/26 8:20,2017/8/26 8:27,10209
10160,20170826,精彩点,巴啦啦小魔仙音符之谜(02)(高清),2017/8/26 8:55,2017/8/26 9:00,10209
10160,20170826,精彩点,味道中国(高清),2017/8/26 8:20,2017/8/26 8:27,10209
10160,20170826,精彩点,巴啦啦小魔仙音符之谜(04)(高清),2017/8/26 9:14,2017/8/26 9:37,10209
10160,20170826,精彩点,巴啦啦小魔仙音符之谜(01)(高清),2017/8/26 8:49,2017/8/26 8:55,10209
10160,20170826,精彩点,巴啦啦小魔仙音符之谜(03)(高清),2017/8/26 9:00,2017/8/26 9:14,10209
10160,20170826,精彩点,浪花一朵朵(37)(大结局)(高清),2017/8/26 8:27,2017/8/26 8:35,10209
10160,20170826,精彩点,浪花一朵朵(37)(大结局)(高清),2017/8/26 8:35,2017/8/26 8:46,10209
10160,20170826,精彩点,巴啦啦小魔仙音符之谜(01)(高清),2017/8/26 8:47,2017/8/26 8:48,10209
10160,20170828,精彩点,浪花一朵朵(35)(高清),2017/8/28 9:48,2017/8/28 10:22,10209
10160,20170828,精彩点,死人之夜(高清)(超能力D+侦探),2017/8/28 15:10,2017/8/28 15:14,10209
10160,20170828,精彩点,邪恶女巫(高清),2017/8/28 14:56,2017/8/28 15:10,10209
10160,20170828,精彩点,邪恶女巫(高清)(肃杀之夜的对决),2017/8/28 14:56,2017/8/28 15:10,10209
10160,20170828,精彩点,08月26日 旅途的花样：林志玲遭嫌弃 李治廷猛吃生蚝(高清),2017/8/28 15:31,2017/8/28 15:34,10209
10160,20170828,精彩点,08月26日 旅途的花样：林志玲遭嫌弃 李治廷猛吃生蚝(高清),2017/8/28 15:33,2017/8/28 15:51,10209
10160,20170828,精彩点,08月18日 签约歌手：以“洗脑旋律”为主题，改编热门金曲(高清),2017/8/28 15:51,2017/8/28 15:52,10209
10160,20170828,精彩点,死人之夜(高清),2017/8/28 15:10,2017/8/28 15:14,10209
10160,20170828,精彩点,06月24日 天生是优我：收官！少女团逆袭出道(高清),2017/8/28 15:52,2017/8/28 16:08,10209
10160,20170828,精彩点,08月26日 旅途的花样：林志玲遭嫌弃 李治廷猛吃生蚝(高清),2017/8/28 15:14,2017/8/28 15:31,10209
10160,20170828,精彩点,浪花一朵朵(37)(大结局)(高清),2017/8/28 14:45,2017/8/28 14:56,10209
10160,20170829,精彩点,秦时丽人明月心(13)(高清),2017/8/29 9:08,2017/8/29 9:36,10209
10160,20170829,精彩点,秦时丽人明月心(14)(高清),2017/8/29 9:36,2017/8/29 9:51,10209
10160,20170830,精彩点,浪花一朵朵(37)(大结局)(高清),2017/8/30 14:52,2017/8/30 14:58,10209
10160,20170830,精彩点,进击吧闪电(01)(高清),2017/8/30 11:14,2017/8/30 11:16,10209
10160,20170830,精彩点,加菲猫2(高清),2017/8/30 14:58,2017/8/30 16:10,10209
10160,20170830,精彩点,浪花一朵朵(37)(大结局)(高清),2017/8/30 11:19,2017/8/30 11:34,10209
10160,20170830,精彩点,加菲猫2(高清)(真假肥猫爆笑相遇),2017/8/30 14:58,2017/8/30 16:10,10209
10160,20170830,精彩点,巴啦啦小魔仙音符之谜(06)(高清),2017/8/30 18:50,2017/8/30 19:02,10209
10160,20170830,精彩点,秦时丽人明月心(14)(高清),2017/8/30 11:12,2017/8/30 11:14,10209
10160,20170830,精彩点,浪花一朵朵(34)(高清),2017/8/30 11:16,2017/8/30 11:19,10209
10160,20170901,精彩点,左耳(高清),2017/9/1 7:18,2017/9/1 7:23,10209
10160,20170901,精彩点,左耳(高清)(爱对了是爱情，爱错了是青春),2017/9/1 7:18,2017/9/1 7:23,10209
10160,20170903,精彩点,左耳(高清)(爱对了是爱情，爱错了是青春),2017/9/3 8:53,2017/9/3 9:12,10209
10160,20170903,精彩点,左耳(高清),2017/9/3 8:53,2017/9/3 9:12,10209
10160,20170909,精彩点,火星情报局 第二季(13)(高清),2017/9/9 19:46,2017/9/9 20:13,10209
10160,20170916,精彩点,变身辣妹(高清),2017/9/16 17:02,2017/9/16 17:22,10209
10160,20170916,精彩点,了不起的菲丽西(高清)(范宁献声，演绎法式芭蕾梦),2017/9/16 14:59,2017/9/16 15:43,10209
10160,20170916,精彩点,美味奇缘(08)(高清),2017/9/16 14:10,2017/9/16 14:55,10209
10160,20170916,精彩点,了不起的菲丽西(高清),2017/9/16 14:59,2017/9/16 15:43,10209
10160,20170916,精彩点,变身辣妹(高清)(“贱女孩”一秒变大叔),2017/9/16 17:02,2017/9/16 17:22,10209
10160,20170917,精彩点,09月10日 蒙面唱将猜猜猜 第二季：郑恺玩套路空降猜评团(高清),2017/9/17 18:12,2017/9/17 18:13,10209
10160,20170917,精彩点,09月03日 蒙面唱将猜猜猜 第二季：真假黄晓明难倒猜评团(高清),2017/9/17 17:38,2017/9/17 18:12,10209
10160,20170917,精彩点,猩球崛起(高清)(新兴猩星争霸战),2017/9/17 18:44,2017/9/17 19:32,10209
10160,20170917,精彩点,猩球崛起(高清),2017/9/17 18:44,2017/9/17 19:32,10209
10160,20170917,精彩点,09月10日 蒙面唱将猜猜猜 第二季：郑恺玩套路空降猜评团(高清),2017/9/17 18:13,2017/9/17 18:44,10209
10160,20170929,精彩点,09月23日 青春旅社：王源鞋底藏钱获赞 景甜华丽变身女汉子(高清),2017/9/29 7:02,2017/9/29 7:05,10209
10162,20170705,精彩点,07月02日 笑声传奇：贾冰蔡明催泪飙戏(高清),2017/7/5 20:37,2017/7/5 20:55,10793
10162,20170709,精彩点,大军师司马懿之军师联盟(31)(高清),2017/7/9 14:15,2017/7/9 14:58,10793
10162,20170713,精彩点,我的前半生(03)(高清),2017/7/13 19:16,2017/7/13 19:59,10793
10162,20170713,精彩点,我的前半生(05)(高清),2017/7/13 20:41,2017/7/13 21:11,10793
10162,20170713,精彩点,我的前半生(02)(高清),2017/7/13 18:53,2017/7/13 18:54,10793
10162,20170713,精彩点,我的前半生(02)(高清),2017/7/13 18:59,2017/7/13 19:16,10793
10162,20170713,精彩点,我的前半生(04)(高清),2017/7/13 19:59,2017/7/13 20:41,10793
10162,20170713,精彩点,我的前半生(01)(高清),2017/7/13 18:54,2017/7/13 18:59,10793
10162,20170713,精彩点,大军师司马懿之军师联盟(38)(高清),2017/7/13 21:12,2017/7/13 21:47,10793
10162,20170715,精彩点,新侠客行(02)(高清),2017/7/15 14:08,2017/7/15 14:48,10793
10162,20170715,精彩点,我的前半生(05)(高清),2017/7/15 20:55,2017/7/15 21:35,10793
10162,20170715,精彩点,新侠客行(02)(高清),2017/7/15 14:48,2017/7/15 15:02,10793
10162,20170715,精彩点,我的前半生(06)(高清),2017/7/15 21:35,2017/7/15 22:07,10793
10162,20170715,精彩点,我的前半生(07)(高清),2017/7/15 22:07,2017/7/15 22:36,10793
10162,20170715,精彩点,07月09日 极限挑战 第三季：孙红雷智斗大妈 张艺兴进化小狐狸(高清),2017/7/15 11:13,2017/7/15 13:24,10793
10162,20170715,精彩点,新侠客行(03)(高清),2017/7/15 15:39,2017/7/15 16:14,10793
10162,20170715,精彩点,新侠客行(04)(高清),2017/7/15 16:14,2017/7/15 19:35,10793
10162,20170715,精彩点,新侠客行(03)(高清),2017/7/15 15:02,2017/7/15 15:39,10793
10162,20170715,精彩点,新侠客行(01)(高清),2017/7/15 13:25,2017/7/15 14:07,10793
10162,20170715,精彩点,新侠客行(06)(高清),2017/7/15 20:20,2017/7/15 20:44,10793
10162,20170715,精彩点,新侠客行(05)(高清),2017/7/15 19:35,2017/7/15 20:20,10793
10162,20170716,精彩点,新侠客行(08)(高清),2017/7/16 19:03,2017/7/16 19:34,10793
10162,20170716,精彩点,新侠客行(07)(高清),2017/7/16 18:21,2017/7/16 19:03,10793
10162,20170716,精彩点,我的前半生(21)(高清),2017/7/16 16:58,2017/7/16 17:37,10793
10162,20170716,精彩点,新侠客行(10)(高清),2017/7/16 19:40,2017/7/16 19:56,10793
10162,20170716,精彩点,我的前半生(20)(高清),2017/7/16 16:27,2017/7/16 16:29,10793
10162,20170716,精彩点,新侠客行(13)(高清),2017/7/16 19:56,2017/7/16 20:00,10793
10162,20170716,精彩点,新侠客行(09)(高清),2017/7/16 19:34,2017/7/16 19:40,10793
10162,20170716,精彩点,我的前半生(20)(高清),2017/7/16 16:35,2017/7/16 16:58,10793
10162,20170716,精彩点,新侠客行(08)(高清),2017/7/16 18:20,2017/7/16 18:21,10793
10162,20170718,热点专题,风之谷(高清),2017/7/18 18:54,2017/7/18 19:23,10793
10162,20170718,热点专题,风之谷(高清)(动画圣经 良心推荐),2017/7/18 18:54,2017/7/18 19:23,10793
10162,20170718,精彩点,极限挑战 第二季20160424期(高清),2017/7/18 19:24,2017/7/18 20:15,10793
10162,20170722,精彩点,阿拉丁与神灯(高清),2017/7/22 20:38,2017/7/22 21:51,10793
10162,20170722,精彩点,极限挑战 第二季20160501期(高清),2017/7/22 17:28,2017/7/22 18:40,10793
10162,20170723,精彩点,郑秀文2009世界巡回演唱会香港站(高清),2017/7/23 15:47,2017/7/23 15:49,10793
10162,20170806,精彩点,绝密543(18)(高清),2017/8/6 12:00,2017/8/6 12:10,10793
10162,20170806,精彩点,异种(高清)(约翰尼？德普异种附身),2017/8/6 13:01,2017/8/6 13:05,10793
10162,20170806,精彩点,异种(高清),2017/8/6 13:01,2017/8/6 13:05,10793
10162,20170806,精彩点,绝密543(17)(高清),2017/8/6 11:24,2017/8/6 12:00,10793
10162,20170811,精彩点,深海利剑(01)(高清),2017/8/11 19:04,2017/8/11 19:06,10793
10162,20170822,精彩点,07月14日 中国新歌声 第二季：杰伦Eason对唱(高清),2017/8/22 20:57,2017/8/22 21:05,10793
10162,20170822,精彩点,08月19日 跨界喜剧王 第二季：啜妮续演前半生柯蓝演绎谈判专家(高清),2017/8/22 20:55,2017/8/22 20:57,10793
10162,20170827,热点专题,我可能不会爱你(24)(高清),2017/8/27 20:50,2017/8/27 21:24,10793
10162,20170827,热点专题,我可能不会爱你(24)(高清),2017/8/27 20:12,2017/8/27 20:14,10793
10162,20170827,热点专题,我可能不会爱你(03)(高清),2017/8/27 19:34,2017/8/27 20:12,10793
10162,20170827,热点专题,我可能不会爱你(23)(高清),2017/8/27 20:14,2017/8/27 20:50,10793
10162,20170909,精彩点,极限挑战 第一季20150628期(高清),2017/9/9 22:29,2017/9/9 22:37,10793
10162,20170910,精彩点,极限挑战 第一季20150719期(高清),2017/9/10 14:22,2017/9/10 15:30,10793
10162,20170910,精彩点,吃吃的爱(高清),2017/9/10 10:23,2017/9/10 10:42,10793
10162,20170910,精彩点,极限挑战 第一季20150719期(高清),2017/9/10 14:00,2017/9/10 14:22,10793
10162,20170910,精彩点,极限挑战 第一季20150705期(高清),2017/9/9 22:37,2017/9/10 0:07,10793
10162,20170910,精彩点,吃吃的爱(高清)(林志玲狠狠“掌掴”小S),2017/9/10 10:23,2017/9/10 10:42,10793
10162,20170910,精彩点,极限挑战 第一季20150712期(高清),2017/9/10 10:42,2017/9/10 14:00,10793
10162,20170913,精彩点,极限挑战 第一季20150906期(高清),2017/9/13 19:56,2017/9/13 20:50,10793
10162,20170914,精彩点,那年花开月正圆(06)(高清),2017/9/14 21:18,2017/9/14 21:24,10793
10162,20170914,精彩点,那年花开月正圆(07)(高清),2017/9/14 21:24,2017/9/14 21:42,10793
10162,20170917,精彩点,那年花开月正圆(15)(高清),2017/9/17 16:29,2017/9/17 16:34,10793
10162,20170917,精彩点,猩球崛起2：黎明之战(高清),2017/9/17 21:05,2017/9/17 21:10,10793
10162,20170917,精彩点,那年花开月正圆(16)(高清),2017/9/17 16:25,2017/9/17 16:29,10793
10162,20170917,精彩点,那年花开月正圆(08)(高清),2017/9/17 11:58,2017/9/17 13:07,10793
10162,20170917,精彩点,那年花开月正圆(13)(高清),2017/9/17 15:42,2017/9/17 16:25,10793
10162,20170917,精彩点,那年花开月正圆(16)(高清),2017/9/17 16:34,2017/9/17 16:38,10793
10162,20170917,精彩点,那年花开月正圆(34)(高清),2017/9/17 16:38,2017/9/17 19:54,10793
10162,20170917,精彩点,猩球崛起2：黎明之战(高清)(猿和人的超级PK),2017/9/17 21:05,2017/9/17 21:10,10793
10164,20170806,精彩点,流氓皇帝(01),2017/8/6 12:35,2017/8/6 13:58,10933
10164,20170814,精彩点,深海利剑(27)(高清),2017/8/14 19:17,2017/8/14 19:39,10933
10164,20170814,精彩点,深海利剑(28)(高清),2017/8/14 19:39,2017/8/14 20:26,10933
10164,20170814,精彩点,深海利剑(27)(高清),2017/8/14 14:19,2017/8/14 19:17,10933
10164,20170814,精彩点,深海利剑(30)(高清),2017/8/14 21:03,2017/8/14 21:47,10933
10164,20170814,精彩点,深海利剑(29)(高清),2017/8/14 20:26,2017/8/14 21:03,10933
10164,20170816,精彩点,深海利剑(32)(高清),2017/8/16 22:34,2017/8/16 23:33,10933
