用户号,业务品牌,用户状态,状态改变时间,预存款,套餐,销售品,资费,入网时间,销售品生效时间,销售品失效时间,机顶盒编号
10236,互动电视,正常        ,20130921,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130921,20130921,20500101,10274
10217,互动电视,正常        ,20130914,0,"乐惠59元套餐-2年-1516元(老互动送15M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20130914,20150901,20500101,11037
11135,互动电视,正常        ,20161030,210,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20161030,20161030,20500101,11298
10790,互动电视,正常        ,20151228,0,,互动标准包-688购机-送快乐点半年(到期停),互动标准包-包月-26.5元-688购机-送快乐点半年(到期停),20151228,20151228,20500101,10453
10136,互动电视,正常        ,20130810,19.02,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130810,20130810,20500101,10237
10489,互动电视,正常        ,20140319,0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20140319,20140319,20500101,11157
10714,互动电视,正常        ,20161222,0,,互动59元包-480预存,互动59元包,20150912,20150912,20500101,11306
10664,互动电视,正常        ,20150624,0,,互动59元包-480预存,互动59元包,20150624,20150624,20500101,11101
11032,互动电视,正常        ,20160604,0,乐惠套餐-15M-2年-2160元-送1年,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20160604,20160604,20500101,10518
11021,互动电视,正常        ,20160526,60,,互动59元包-600预存,互动59元包-600预存,20160526,20160526,20500101,10010
10896,互动电视,正常        ,20160204,0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20160204,20160204,20500101,10993
10895,互动电视,正常        ,20160204,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160204,20160204,20500101,10323
10914,互动电视,正常        ,20160320,534,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160320,20160320,20500101,10334
10324,互动电视,正常        ,20170622,0,6M融合套餐1(互动+宽带),互动49元包,互动49元包,20131104,20170901,20500101,10788
10368,互动电视,正常        ,20140420,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20131202,20150101,20500101,10959
10367,互动电视,正常        ,20140420,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131202,20131202,20500101,11207
10050,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10049,互动电视,正常        ,20130628,300,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130628,20150101,20500101,11271
10146,互动电视,正常        ,20150520,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130820,20130820,20500101,11122
10966,互动电视,正常        ,20160402,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160402,20160402,20500101,10656
10392,互动电视,正常        ,20131221,300,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20131221,20131221,20500101,10102
11208,互动电视,正常        ,20160518,60,,互动59元包-600预存,互动59元包-600预存,20160518,20160518,20500101,10165
10710,互动电视,正常        ,20150906,0,月享套餐-30M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20150906,20170901,20500101,10183
10689,互动电视,正常        ,20150810,0,,互动标准包,互动标准包-包月-26.5元,20150810,20170601,20500101,10743
10917,互动电视,正常        ,20170919,77,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160302,20160302,20500101,11146
10886,互动电视,正常        ,20160204,0,,互动59元包-600预存,互动59元包-600预存,20160204,20160204,20500101,10004
10028,互动电视,正常        ,20170422,0,乐惠套餐-15M-3年-1980元-续费(B),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20070914,20150426,20500101,10919
11087,互动电视,正常        ,20160729,130,乐惠套餐-25M-包月-109元-预存600元-赠送360元分36个月返还,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160729,20160729,20500101,10290
10254,互动电视,正常        ,20170705,467.5,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130928,20130928,20500101,10211
10299,互动电视,正常        ,20170322,109.31,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131024,20131024,20500101,10015
10564,互动电视,正常        ,20141128,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20141128,20160401,20500101,10843
10563,互动电视,正常        ,20141128,0,,互动标准包-600购机-送快乐点2年-12M体验,互动600购机-26.5元-送快乐点2年-送12M体验,20141128,20141128,20500101,10851
10565,互动电视,正常        ,20141128,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20141128,20150101,20500101,10846
10094,互动电视,正常        ,20130721,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130721,20130721,20500101,10194
10695,互动电视,正常        ,20150920,22.03,乐惠套餐-25M-3年-2380元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150813,20150813,20500101,10773
10007,互动电视,正常        ,20090228,0,,预存入网(600元)(26.5元/月),互动标准包-包月-预存600,20070723,20121229,20500101,10469
11319,互动电视,正常        ,20160420,0,乐惠套餐-25M-3年-2380元-16年,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20160301,20160301,20500101,11027
10018,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10734,互动电视,正常        ,20151020,0,"乐惠59元套餐-2年-1416元(新装或置换互动-送10M宽带1年,限新宽带)",互动标准包,互动标准包-包月-26.5元,20151020,20171101,20500101,10949
11018,互动电视,正常        ,20160525,60,,互动59元包-600预存,互动59元包-600预存,20160525,20160525,20500101,10427
10141,互动电视,正常        ,20130817,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130817,20130817,20500101,10316
10594,互动电视,正常        ,20141227,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20141227,20150101,20500101,10887
10568,互动电视,正常        ,20141204,0,乐惠套餐-12M-1年-1180,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-380购机,20141204,20141204,20500101,10842
10271,互动电视,正常        ,20160121,0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20131010,20131010,20500101,10067
10075,互动电视,正常        ,20130718,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130718,20130718,20500101,10190
10312,互动电视,正常        ,20131030,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20131030,20131030,20500101,11079
10313,互动电视,正常        ,20131030,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20131030,20150101,20500101,11013
11088,互动电视,正常        ,20160801,0,,互动标准包-688购机-送快乐点半年(到期停),互动标准包-包月-26.5元-688购机-送快乐点半年(到期停),20160801,20160801,20500101,10472
11147,互动电视,正常        ,20161119,240,,互动59元包-600预存,互动59元包-600预存,20161119,20161119,20500101,10121
11266,互动电视,正常        ,20140723,0,乐惠套餐-25M-包月-109元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20140723,20160701,20500101,11203
10268,互动电视,正常        ,20131003,8,,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20131003,20131003,20500101,10514
10837,互动电视,正常        ,20160119,0,乐惠套餐-15M-1年-1180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20160119,20160119,20500101,10372
11124,互动电视,正常        ,20161017,84,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20161017,20161017,20500101,10706
10322,互动电视,正常        ,20131104,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131104,20131104,20500101,10310
11328,互动电视,正常        ,20161001,220,乐惠套餐-25M-包月-109元-预存600元-赠送360元分36个月返还,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20161001,20161001,20500101,10721
10683,互动电视,正常        ,20150726,0,乐惠套餐-15M-1年-1180元-续费(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150726,20150726,20500101,10667
10509,互动电视,正常        ,20130830,0,,互动电视预存688购机(26.5元/月)-捆绑快乐点半年,互动标准包-包月-26.5元-688购机-送快乐点半年(到期顺延),20130830,20130830,20500101,10543
11050,互动电视,正常        ,20160616,0,,互动标准包-688购机-送快乐点半年(到期顺延),互动标准包-包月-26.5元-688购机-送快乐点半年(到期顺延),20160616,20160616,20500101,10347
11259,互动电视,正常        ,20140712,0,乐惠套餐-6M-2年-1480,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140712,20140712,20500101,11307
10386,互动电视,正常        ,20170823,97.01,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131217,20131217,20500101,11180
10145,互动电视,正常        ,20170923,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130820,20130820,20500101,10204
10541,互动电视,正常        ,20170924,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140817,20150101,20500101,10680
10110,互动电视,正常        ,20130804,0,10M融合套餐1(互动+宽带),[互动+宽带10M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带10M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130804,20130804,20500101,10816
10505,互动电视,正常        ,20140404,0,[互动+宽带]6M融合套餐(980),[互动+宽带]互动标准套餐(26.5元)—280购机入网,互动+联合宽带-包月-26.5元-280购机,20140404,20140404,20301231,10271
10244,互动电视,正常        ,20130924,376.5,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130924,20130924,20500101,10187
10877,互动电视,正常        ,20160204,0,,互动59元包-600预存,互动59元包-600预存,20160204,20160204,20500101,11044
10466,互动电视,正常        ,20141023,0,[互动+宽带]12M融合套餐(1180),[互动+宽带]互动标准套餐(26.5元)—380购机入网,互动+联合宽带-包月-26.5元-380购机,20140127,20140127,20500101,11176
10090,互动电视,正常        ,20150520,0,10M融合套餐1(互动+宽带),[互动+宽带10M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带10M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130728,20130728,20500101,10388
10850,互动电视,正常        ,20170411,356,乐惠套餐-20M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20160126,20170501,20500101,11035
10411,互动电视,正常        ,20131227,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20131227,20150101,20500101,10616
10410,互动电视,正常        ,20131227,1,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131227,20131227,20500101,10226
11312,互动电视,正常        ,20150812,0,,互动59元包-480预存,互动59元包,20150812,20150812,20500101,11148
10572,互动电视,正常        ,20141211,16.63,,互动标准包-600购机-送快乐点2年-12M体验,互动600购机-26.5元-送快乐点2年-送12M体验,20141211,20141211,20500101,10855
10653,互动电视,正常        ,20150614,0,乐惠套餐-25M-3年-2380元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150614,20150614,20500101,10159
10656,互动电视,正常        ,20150621,0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20150621,20150621,20500101,10512
11128,互动电视,正常        ,20161022,210,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20161022,20161022,20500101,10471
10149,互动电视,正常        ,20130825,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130825,20130825,20500101,10346
10350,互动电视,正常        ,20141021,0,[13年底促销]10M融合套餐1(互动+宽带),[互动+宽带10M]互动(26.5元/月)-捆绑200元增值费,[互动+宽带10M]互动(26.5元/月)-捆绑200元增值费(资费),20131126,20131126,20500101,10197
10390,互动电视,正常        ,20131219,0,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20131219,20131219,20500101,10522
10289,互动电视,正常        ,20131022,0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20131022,20131022,20500101,10413
11311,互动电视,正常        ,20160324,0,乐惠套餐-25M-3年-2280元(A),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20150302,20150302,20500101,10921
10195,互动电视,正常        ,20151219,104.28,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130909,20130909,20500101,11291
10275,互动电视,正常        ,20131008,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131008,20131008,20500101,10256
10732,互动电视,正常        ,20151020,0,"乐惠59元套餐-2年-1516元(新装或置换互动-送15M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包-240元购机,20151020,20151020,20500101,10958
10825,互动电视,正常        ,20160119,98,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160119,20160119,20500101,11055
10927,互动电视,正常        ,20160311,114,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160311,20160311,20500101,10724
10670,互动电视,正常        ,20160927,0,,互动59元包-480预存,互动59元包,20150708,20150708,20500101,10087
10098,互动电视,正常        ,20171028,166.66,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130722,20130722,20500101,10455
10019,互动电视,正常        ,20130313,107.13,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20071029,20131129,20500101,10477
10144,互动电视,正常        ,20170721,0,,[互动]互动租机(26.5元/月，15元最低消费),互动标准包-包月-(26.5元+15元低消)-租机,20130821,20130821,20301231,10480
10702,互动电视,正常        ,20150825,0,,互动59元包-480预存,互动59元包,20150825,20150825,20500101,10283
10717,互动电视,正常        ,20150917,0,乐惠套餐-25M-3年-2380元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150917,20150917,20500101,10790
10884,互动电视,正常        ,20160203,16.01,乐惠套餐-25M-包月-109元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160203,20160203,20500101,10027
11291,互动电视,正常        ,20170623,15.51,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140924,20150101,20500101,11232
11289,互动电视,正常        ,20171001,10,乐惠套餐-12M-1年-1180,互动59元包,互动59元包,20140916,20160301,20500101,11131
10311,互动电视,正常        ,20171030,59,10M融合套餐1(互动+宽带),[互动+宽带10M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带10M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20131029,20131029,20500101,11110
10786,互动电视,正常        ,20151227,0,乐惠套餐-10M-1年-1080元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20151227,20151227,20500101,10489
10134,互动电视,正常        ,20130809,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130809,20130809,20500101,10463
11244,互动电视,正常        ,20160516,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140611,20140611,20500101,10133
10283,互动电视,正常        ,20131015,0,10M融合套餐1(互动+宽带),[互动+宽带10M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带10M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20131015,20131015,20500101,10393
10669,互动电视,正常        ,20170423,0,,互动标准包,[互动]优惠购机(388元)(26.5元/月)(资费),20150704,20170101,20500101,10556
10646,互动电视,正常        ,20150517,160,乐惠套餐-10M-1年-1080元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150517,20150517,20500101,10606
10537,互动电视,正常        ,20140628,0,乐惠套餐-6M-2年-1480,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140628,20140628,20500101,10806
10480,互动电视,正常        ,20140216,0,[互动+宽带]12M融合套餐126包月(入网预存600),[互动+宽带]互动(26.5元/月)--捆绑快乐点(39.5元/月)、600元预存,[互动+宽带]互动(26.5元/月)--捆绑快乐点(39.5元/月)、600元预存(资费),20140216,20140216,20500101,10336
10089,互动电视,正常        ,20170826,44.05,,互动39元包,互动39元包,20130728,20160101,20500101,10291
10088,互动电视,正常        ,20170422,14.02,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130728,20130728,20500101,11234
10496,互动电视,正常        ,20130822,0,,[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还)(资费),20130822,20130822,20500101,10315
10151,互动电视,正常        ,20130823,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130823,20150101,20500101,10456
10818,互动电视,正常        ,20160526,53,,互动标准包-688购机-送快乐点半年(到期顺延),互动标准包-包月-26.5元-688购机-送快乐点半年(到期顺延),20160114,20160114,20500101,10960
10633,互动电视,正常        ,20150317,0,,互动标准包-600预存-送快乐点2年(到期顺延)-送15M体验,互动标准包-包月-26.5元-600预存-送快乐点2年(到期顺延)-15M体验,20150317,20150317,20500101,10907
10109,互动电视,正常        ,20130731,0,"乐惠59元套餐-2年-1516元(老互动送15M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20130731,20150901,20500101,10812
11262,互动电视,正常        ,20140717,207.13,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140717,20140717,20500101,10265
10705,互动电视,正常        ,20170824,371,,互动标准包,互动标准包-包月-26.5元,20150829,20170901,20500101,10410
11013,互动电视,正常        ,20160525,60,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160525,20160525,20500101,10314
10449,互动电视,正常        ,20140118,209.99,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20140118,20140118,20500101,10751
10450,互动电视,正常        ,20140118,0,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20140118,20140118,20500101,10112
11235,互动电视,正常        ,20140513,0,乐惠套餐-6M-1年-980,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140513,20140513,20500101,10611
10212,互动电视,正常        ,20130914,0,6M融合套餐1(互动+宽带),互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130914,20150101,20500101,10957
10213,互动电视,正常        ,20130914,0,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20130914,20130914,20500101,10735
10290,互动电视,正常        ,20161123,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20131022,20131022,20500101,10576
10374,互动电视,正常        ,20131207,270,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20131207,20161201,20500101,10454
10006,互动电视,正常        ,20170622,0,,互动39元包,互动39元包,20070429,20150901,20500101,10379
10222,互动电视,正常        ,20170828,95,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130917,20130917,20500101,10665
10485,互动电视,正常        ,20140302,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20140302,20140302,20500101,11185
11202,互动电视,正常        ,20141211,140,乐惠套餐-12M-3年-2180,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20141211,20141211,20500101,10820
11176,互动电视,正常        ,20160105,0,,互动标准包-688购机-送快乐点半年(到期停),互动标准包-包月-26.5元-688购机-送快乐点半年(到期停),20160105,20160105,20500101,10595
11286,互动电视,正常        ,20140907,0,乐惠套餐-12M-2年-1880,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140907,20140907,20500101,10074
10963,互动电视,正常        ,20160330,0,,互动59元包-600预存,互动59元包-600预存,20160330,20160330,20500101,10358
10791,互动电视,正常        ,20151228,0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20151228,20151228,20500101,10600
10770,互动电视,正常        ,20151210,0,乐惠套餐-15M-3年-2180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20151210,20151210,20500101,10684
10903,互动电视,正常        ,20160220,0,乐惠套餐-20M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20160220,20170301,20500101,10797
10614,互动电视,正常        ,20150201,4.9,乐惠套餐-8M-1年-980元(A),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20150201,20150201,20500101,10903
10667,互动电视,正常        ,20170718,212,乐惠套餐-15M-1年-1180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150702,20150702,20500101,10215
10340,互动电视,正常        ,20131121,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20131121,20150101,20500101,10758
10152,互动电视,正常        ,20130824,128.56,,[互动]优惠购机(688元设备费)(26.5元/月)-捆半年时移回看,[互动]优惠购机(688元设备费)(26.5元/月)-捆半年时移回看(资费),20130824,20130824,20500101,11255
11274,互动电视,正常        ,20140806,0,乐惠套餐-12M-1年-1180,互动+联合宽带-380购机,互动+联合宽带-包月-26.5元-380购机,20140806,20140806,20500101,10141
10355,互动电视,正常        ,20131127,24.01,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131127,20131127,20500101,10002
10869,互动电视,正常        ,20160128,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160128,20160128,20500101,10266
10514,互动电视,正常        ,20120830,100,,优惠购机一(499元)(26.5元/月),优惠购机一(499元)(26.5元/月)(资费),20120830,20120830,20500101,10749
10034,互动电视,正常        ,20170922,57,6M融合套餐2(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20120326,20130601,20500101,10731
10503,互动电视,正常        ,20170323,122.51,[互动+宽带]12M融合套餐(1180),[互动+宽带]互动标准套餐(26.5元)—380购机入网,互动+联合宽带-包月-26.5元-380购机,20140322,20140322,20301231,11177
10838,互动电视,正常        ,20160119,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160119,20160119,20500101,10662
10153,互动电视,正常        ,20130825,0,6M融合套餐1(互动+宽带),互动39元包,互动39元包,20130825,20150901,20500101,10113
10632,互动电视,正常        ,20170117,35.5,乐惠套餐-15M-3年-2080元(A),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20150303,20150303,20500101,10923
11268,互动电视,正常        ,20140726,0,乐惠套餐-12M-1年-1180,互动+联合宽带-380购机,互动+联合宽带-包月-26.5元-380购机,20140726,20140726,20500101,10100
11269,互动电视,正常        ,20140726,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140726,20150101,20500101,10130
11119,互动电视,正常        ,20161004,210,,互动59元包-600预存,互动59元包-600预存,20161004,20161004,20500101,10375
10183,互动电视,正常        ,20131128,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130905,20130905,20500101,10392
10162,互动电视,正常        ,20140928,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130901,20130901,20500101,10174
10187,互动电视,正常        ,20131025,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130907,20130907,20500101,10171
11069,互动电视,正常        ,20160706,120,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160706,20160706,20500101,10698
10286,互动电视,正常        ,20170616,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20131016,20150101,20500101,10003
10285,互动电视,正常        ,20170616,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131016,20131016,20500101,11268
11116,互动电视,正常        ,20161001,0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20161001,20161001,20500101,11193
11115,互动电视,正常        ,20161001,210,,互动59元包-600预存,互动59元包-600预存,20161001,20161001,20500101,10459
10882,互动电视,正常        ,20160203,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160203,20160203,20500101,10780
10379,互动电视,正常        ,20131211,0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20131211,20131211,20500101,10617
10069,互动电视,正常        ,20130703,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130703,20130703,20500101,10057
10605,互动电视,正常        ,20150113,220,乐惠套餐-12M-3年-2180,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20150113,20150113,20500101,10924
